[I 210513 14:01:26 main:117] Model name: dimenet
[I 210513 14:01:26 main:118] Model params: {'emb_size': 128, 'num_blocks': 6, 'num_bilinear': 8, 'num_spherical': 7, 'num_radial': 6, 'envelope_exponent': 5, 'cutoff': 4.0, 'num_before_skip': 1, 'num_after_skip': 2, 'num_dense_output': 3, 'targets': ['Energy']}
[I 210513 14:01:26 main:119] Train params: {'num_train': 1673, 'num_valid': 418, 'data_seed': 42, 'lr': 0.001, 'weight_decay': 0.0001, 'ema_decay': 0, 'batch_size': 10, 'epochs': 300, 'early_stopping': 20, 'num_workers': 12, 'gpu': 0, 'interval': 10, 'step_size': 30, 'gamma': 0.3}
[I 210513 14:01:26 main:127] Loading Data Set
[I 210513 14:01:32 main:139] Size of Training Set: 1673
[I 210513 14:01:32 main:140] Size of Validation Set: 418
[I 210513 14:01:32 main:141] Size of Test Set: 519
[I 210513 14:01:32 main:167] Loading Model
[I 210513 14:02:27 main:221] EMA Init
[I 210513 14:02:27 main:228] Training
[I 210513 16:35:49 main:248] Epoch 155 | Train Loss 0.0439
[I 210513 16:36:47 main:248] Epoch 156 | Train Loss 0.0440
[I 210513 16:37:42 main:248] Epoch 157 | Train Loss 0.0440
[I 210513 16:38:38 main:248] Epoch 158 | Train Loss 0.0438
[I 210513 16:39:36 main:248] Epoch 159 | Train Loss 0.0438
[I 210513 16:40:41 main:236] Epoch 160 | Train Loss 0.0441 | Val MAE 0.0638
[I 210513 16:41:36 main:248] Epoch 161 | Train Loss 0.0439
[I 210513 16:42:34 main:248] Epoch 162 | Train Loss 0.0439
[I 210513 16:43:28 main:248] Epoch 163 | Train Loss 0.0439
[I 210513 16:44:20 main:248] Epoch 164 | Train Loss 0.0437
[I 210513 16:45:15 main:248] Epoch 165 | Train Loss 0.0438
[I 210513 16:46:10 main:248] Epoch 166 | Train Loss 0.0438
[I 210513 16:47:07 main:248] Epoch 167 | Train Loss 0.0439
[I 210513 16:48:03 main:248] Epoch 168 | Train Loss 0.0437
[I 210513 16:48:56 main:248] Epoch 169 | Train Loss 0.0438
[I 210513 16:50:00 main:236] Epoch 170 | Train Loss 0.0439 | Val MAE 0.0639
[I 210513 16:50:55 main:248] Epoch 171 | Train Loss 0.0438
[I 210513 16:51:49 main:248] Epoch 172 | Train Loss 0.0438
[I 210513 16:52:45 main:248] Epoch 173 | Train Loss 0.0436
[I 210513 16:53:40 main:248] Epoch 174 | Train Loss 0.0437
[I 210513 16:54:34 main:248] Epoch 175 | Train Loss 0.0438
[I 210513 16:55:30 main:248] Epoch 176 | Train Loss 0.0436
[I 210513 16:56:25 main:248] Epoch 177 | Train Loss 0.0438
[I 210513 16:57:20 main:248] Epoch 178 | Train Loss 0.0436
[I 210513 16:58:16 main:248] Epoch 179 | Train Loss 0.0437
[I 210513 16:59:21 main:236] Epoch 180 | Train Loss 0.0435 | Val MAE 0.0639
[I 210513 17:00:16 main:248] Epoch 181 | Train Loss 0.0435
[I 210513 17:01:11 main:248] Epoch 182 | Train Loss 0.0434
[I 210513 17:02:09 main:248] Epoch 183 | Train Loss 0.0435
[I 210513 17:03:04 main:248] Epoch 184 | Train Loss 0.0434
[I 210513 17:03:59 main:248] Epoch 185 | Train Loss 0.0434
[I 210513 17:04:52 main:248] Epoch 186 | Train Loss 0.0434
[I 210513 17:05:48 main:248] Epoch 187 | Train Loss 0.0434
[I 210513 17:06:43 main:248] Epoch 188 | Train Loss 0.0434
[I 210513 17:07:37 main:248] Epoch 189 | Train Loss 0.0434
